addr,value,count
addr:city,Москва,2833
addr:country,RU,1009
addr:housenumber,1,43
addr:housenumber,1 к1,20
addr:housenumber,1 к11,1
addr:housenumber,1 к2,16
addr:housenumber,1 к3,7
addr:housenumber,1 к3 с1,1
addr:housenumber,1 к4,3
addr:housenumber,1 к5,1
addr:housenumber,1 к7,1
addr:housenumber,1 с1,8
addr:housenumber,1 с10,1
addr:housenumber,1 с16,2
addr:housenumber,1 с2,7
addr:housenumber,1 с20А,1
addr:housenumber,1 с3,4
addr:housenumber,1 с31,1
addr:housenumber,1 с4,1
addr:housenumber,1 с40,1
addr:housenumber,1 с48,1
addr:housenumber,1 с53,1
addr:housenumber,1 с6,1
addr:housenumber,1 с7,1
addr:housenumber,1 с8,1
addr:housenumber,1/12,1
addr:housenumber,1/13/6 с2,1
addr:housenumber,1/18 с1,1
addr:housenumber,1/18 с2,1
addr:housenumber,1/18 с4,1
addr:housenumber,1/2,2
addr:housenumber,1/2 с1,1
addr:housenumber,1/2 с5,1
addr:housenumber,1/5,1
addr:housenumber,10,28
addr:housenumber,10 к1,14
addr:housenumber,10 к2,6
addr:housenumber,10 к3,5
addr:housenumber,10 к4,2
addr:housenumber,10 с1,4
addr:housenumber,10 с10,1
addr:housenumber,10 с2,7
addr:housenumber,10 с24,1
addr:housenumber,10 с3,3
addr:housenumber,10 с4,1
addr:housenumber,10 с5,1
addr:housenumber,10 с6,1
addr:housenumber,10 с9,1
addr:housenumber,10/2 с2Б,1
addr:housenumber,10/6,1
addr:housenumber,100,1
addr:housenumber,100 с3,1
addr:housenumber,101,1
addr:housenumber,101 к1,1
addr:housenumber,101 к2,1
addr:housenumber,101 к3,1
addr:housenumber,101 к6,1
addr:housenumber,105 к1,1
addr:housenumber,105 к2,1
addr:housenumber,105 к4,2
addr:housenumber,105 с12,1
addr:housenumber,105 с15,1
addr:housenumber,107 к1,2
addr:housenumber,107 к2,1
addr:housenumber,107 к3,2
addr:housenumber,107 к4,1
addr:housenumber,107 с17,1
addr:housenumber,107 с3,1
addr:housenumber,107А к1,1
addr:housenumber,107А к2,1
addr:housenumber,107А к3,1
addr:housenumber,107А к5,1
addr:housenumber,108,2
addr:housenumber,109 к4,1
addr:housenumber,10А,1
addr:housenumber,10А с1,2
addr:housenumber,10Б,2
addr:housenumber,10В,1
addr:housenumber,10Г,1
addr:housenumber,10Д с1,1
addr:housenumber,11,29
addr:housenumber,11 к1,5
addr:housenumber,11 к2,7
addr:housenumber,11 к3,1
addr:housenumber,11 к4,2
addr:housenumber,11 к5,2
addr:housenumber,11 к6,1
addr:housenumber,11 к7,1
addr:housenumber,11 к8,1
addr:housenumber,11 кБ,1
addr:housenumber,11 с1,6
addr:housenumber,11 с10,1
addr:housenumber,11 с13,1
addr:housenumber,11 с2,4
addr:housenumber,11 с3,1
addr:housenumber,11 с4,2
addr:housenumber,11/2 с4,1
addr:housenumber,11/5 с4,1
addr:housenumber,110,1
addr:housenumber,110 с23,1
addr:housenumber,110 с28,1
addr:housenumber,110 с53,1
addr:housenumber,110 с62,1
addr:housenumber,110А,1
addr:housenumber,110А c3,1
addr:housenumber,112 к1 3Б,1
addr:housenumber,112 к1 с1,1
addr:housenumber,112 к1 с2,1
addr:housenumber,112 к1 с3,1
addr:housenumber,116,1
addr:housenumber,116 с4,1
addr:housenumber,119 с40,1
addr:housenumber,11А,1
addr:housenumber,11А с2,1
addr:housenumber,11Г,1
addr:housenumber,11Д,1
addr:housenumber,11Е,1
addr:housenumber,11к1,2
addr:housenumber,12,28
addr:housenumber,12 к1,8
addr:housenumber,12 к2,6
addr:housenumber,12 к2 с3,1
addr:housenumber,12 к3,4
addr:housenumber,12 к4,3
addr:housenumber,12 с1,11
addr:housenumber,12 с10Г,1
addr:housenumber,12 с15,2
addr:housenumber,12 с16,2
addr:housenumber,12 с2,6
addr:housenumber,12 с3,1
addr:housenumber,12 с4,1
addr:housenumber,12 с5,1
addr:housenumber,12 с9,1
addr:housenumber,12/2,1
addr:housenumber,12/2 с1,1
addr:housenumber,12/3,1
addr:housenumber,12/7 кБ,1
addr:housenumber,12/7 с3,1
addr:housenumber,120,1
addr:housenumber,120 к1,1
addr:housenumber,122,1
addr:housenumber,122 к1,1
addr:housenumber,124А,1
addr:housenumber,124А с1,1
addr:housenumber,125Б,1
addr:housenumber,126,1
addr:housenumber,126А,1
addr:housenumber,128,1
addr:housenumber,12А,2
addr:housenumber,12А с4,1
addr:housenumber,12А с7,1
addr:housenumber,12Б,1
